zone,direction,zone_name,Borough,DS_z,DS_z_median,N_z,DS_z_rank
4,pickup,Alphabet City,Manhattan,0.0601567794999745,0.0561797752808988,284803,1
137,pickup,Kips Bay,Manhattan,0.0593691664813296,0.0556379821958456,509958,2
224,pickup,Stuy Town/Peter Cooper Village,Manhattan,0.0590426133728486,0.0574052812858783,200589,3
50,pickup,Clinton West,Manhattan,0.0589663418578972,0.0552282768777614,523676,4
232,pickup,Two Bridges/Seward Park,Manhattan,0.0581009814602674,0.0538599640933572,419627,5
79,pickup,East Village,Manhattan,0.0579009273215822,0.0532292405961674,1205358,6
107,pickup,Gramercy,Manhattan,0.057504982898474,0.0538406317300789,723383,7
45,pickup,Chinatown,Manhattan,0.0573217191741026,0.0516706854977609,244352,8
143,pickup,Lincoln Square West,Manhattan,0.0566199467866514,0.0527426160337552,320105,9
90,pickup,Flatiron,Manhattan,0.0565963153106607,0.0522830254444057,651649,10
233,pickup,UN/Turtle Bay South,Manhattan,0.0565203230292086,0.0536864710093056,539276,11
113,pickup,Greenwich Village North,Manhattan,0.0564922255622692,0.0517063081695966,579709,12
229,pickup,Sutton Place/Turtle Bay North,Manhattan,0.0559728509343375,0.0525210084033613,560764,13
249,pickup,West Village,Manhattan,0.0557221835174084,0.0511596180081855,869190,14
114,pickup,Greenwich Village South,Manhattan,0.0552218748191722,0.04973474801061,603421,15
