zone,direction,year,month,n_trips,Borough,zone_name,crz_zone,charged_share_2023,charged_share_2024,charged_share
2,dropoff,2023,5,1,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
2,dropoff,2023,6,4,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
2,dropoff,2024,2,5,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
2,dropoff,2024,3,7,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
2,dropoff,2024,4,6,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
2,dropoff,2024,5,8,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
2,dropoff,2024,6,6,Queens,Jamaica Bay,false,0.2222,0.0625,0.2222
2,pickup,2023,2,2,Queens,Jamaica Bay,false,0.5,0.3158,0.5
2,pickup,2023,3,3,Queens,Jamaica Bay,false,0.5,0.3158,0.5
2,pickup,2023,4,1,Queens,Jamaica Bay,false,0.5,0.3158,0.5
2,pickup,2023,5,1,Queens,Jamaica Bay,false,0.5,0.3158,0.5
2,pickup,2023,6,5,Queens,Jamaica Bay,false,0.5,0.3158,0.5
2,pickup,2024,2,2,Queens,Jamaica Bay,false,0.5,0.3158,0.5
2,pickup,2024,3,8,Queens,Jamaica Bay,false,0.5,0.3158,0.5
2,pickup,2024,4,4,Queens,Jamaica Bay,false,0.5,0.3158,0.5
2,pickup,2024,5,2,Queens,Jamaica Bay,false,0.5,0.3158,0.5
2,pickup,2024,6,3,Queens,Jamaica Bay,false,0.5,0.3158,0.5
3,dropoff,2023,2,206,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,dropoff,2023,3,251,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,dropoff,2023,4,248,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,dropoff,2023,5,275,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,dropoff,2023,6,240,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,dropoff,2024,2,199,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,dropoff,2024,3,252,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,dropoff,2024,4,248,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,dropoff,2024,5,286,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,dropoff,2024,6,257,Bronx,Allerton/Pelham Gardens,false,0.1492,0.1715,0.1492
3,pickup,2023,2,43,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
3,pickup,2023,3,59,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
3,pickup,2023,4,52,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
3,pickup,2023,5,60,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
3,pickup,2023,6,67,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
3,pickup,2024,2,86,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
3,pickup,2024,3,105,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
3,pickup,2024,4,113,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
3,pickup,2024,5,111,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
3,pickup,2024,6,90,Bronx,Allerton/Pelham Gardens,false,0.1815,0.3347,0.1815
4,dropoff,2023,2,11183,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,dropoff,2023,3,12689,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,dropoff,2023,4,12024,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,dropoff,2023,5,12521,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,dropoff,2023,6,11977,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,dropoff,2024,2,10746,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,dropoff,2024,3,12126,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,dropoff,2024,4,10914,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,dropoff,2024,5,11568,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,dropoff,2024,6,10773,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2023,2,3047,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2023,3,3230,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2023,4,3297,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2023,5,3297,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2023,6,3147,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2024,2,3165,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2024,3,3666,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2024,4,3301,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2024,5,3276,Manhattan,Alphabet City,true,1.0,1.0,1.0
4,pickup,2024,6,3251,Manhattan,Alphabet City,true,1.0,1.0,1.0
5,dropoff,2023,2,65,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,dropoff,2023,3,60,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,dropoff,2023,4,57,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,dropoff,2023,5,62,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,dropoff,2023,6,55,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,dropoff,2024,2,9,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,dropoff,2024,3,14,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,dropoff,2024,4,16,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,dropoff,2024,5,17,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,dropoff,2024,6,15,Staten Island,Arden Heights,false,0.2977,0.3521,0.2977
5,pickup,2023,2,53,Staten Island,Arden Heights,false,0.3806,0.0,0.3806
5,pickup,2023,3,53,Staten Island,Arden Heights,false,0.3806,0.0,0.3806
5,pickup,2023,4,41,Staten Island,Arden Heights,false,0.3806,0.0,0.3806
5,pickup,2023,5,58,Staten Island,Arden Heights,false,0.3806,0.0,0.3806
5,pickup,2023,6,42,Staten Island,Arden Heights,false,0.3806,0.0,0.3806
5,pickup,2024,3,1,Staten Island,Arden Heights,false,0.3806,0.0,0.3806
5,pickup,2024,5,1,Staten Island,Arden Heights,false,0.3806,0.0,0.3806
6,dropoff,2023,2,68,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,dropoff,2023,3,103,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,dropoff,2023,4,96,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,dropoff,2023,5,105,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,dropoff,2023,6,84,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,dropoff,2024,2,56,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,dropoff,2024,3,74,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,dropoff,2024,4,97,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,dropoff,2024,5,93,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,dropoff,2024,6,91,Staten Island,Arrochar/Fort Wadsworth,false,0.1974,0.236,0.1974
6,pickup,2023,2,32,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
6,pickup,2023,3,48,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
6,pickup,2023,4,60,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
6,pickup,2023,5,49,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
6,pickup,2023,6,38,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
6,pickup,2024,2,16,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
6,pickup,2024,3,23,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
6,pickup,2024,4,25,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
6,pickup,2024,5,49,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
6,pickup,2024,6,39,Staten Island,Arrochar/Fort Wadsworth,false,0.0088,0.0855,0.0088
7,dropoff,2023,2,8113,Queens,Astoria,false,0.4684,0.4365,0.4684
7,dropoff,2023,3,9572,Queens,Astoria,false,0.4684,0.4365,0.4684
7,dropoff,2023,4,9365,Queens,Astoria,false,0.4684,0.4365,0.4684
7,dropoff,2023,5,9408,Queens,Astoria,false,0.4684,0.4365,0.4684
7,dropoff,2023,6,9618,Queens,Astoria,false,0.4684,0.4365,0.4684
7,dropoff,2024,2,6772,Queens,Astoria,false,0.4684,0.4365,0.4684
7,dropoff,2024,3,7506,Queens,Astoria,false,0.4684,0.4365,0.4684
7,dropoff,2024,4,7405,Queens,Astoria,false,0.4684,0.4365,0.4684
7,dropoff,2024,5,7592,Queens,Astoria,false,0.4684,0.4365,0.4684
7,dropoff,2024,6,7043,Queens,Astoria,false,0.4684,0.4365,0.4684
7,pickup,2023,2,1226,Queens,Astoria,false,0.1529,0.1622,0.1529
7,pickup,2023,3,1505,Queens,Astoria,false,0.1529,0.1622,0.1529
7,pickup,2023,4,1438,Queens,Astoria,false,0.1529,0.1622,0.1529
7,pickup,2023,5,1579,Queens,Astoria,false,0.1529,0.1622,0.1529
7,pickup,2023,6,1472,Queens,Astoria,false,0.1529,0.1622,0.1529
7,pickup,2024,2,1112,Queens,Astoria,false,0.1529,0.1622,0.1529
7,pickup,2024,3,1409,Queens,Astoria,false,0.1529,0.1622,0.1529
7,pickup,2024,4,1335,Queens,Astoria,false,0.1529,0.1622,0.1529
7,pickup,2024,5,1442,Queens,Astoria,false,0.1529,0.1622,0.1529
7,pickup,2024,6,1331,Queens,Astoria,false,0.1529,0.1622,0.1529
8,dropoff,2023,2,29,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,dropoff,2023,3,47,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,dropoff,2023,4,76,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,dropoff,2023,5,61,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,dropoff,2023,6,77,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,dropoff,2024,2,28,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,dropoff,2024,3,40,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,dropoff,2024,4,46,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,dropoff,2024,5,40,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,dropoff,2024,6,55,Queens,Astoria Park,false,0.4172,0.2775,0.4172
8,pickup,2023,2,10,Queens,Astoria Park,false,0.1493,0.1167,0.1493
8,pickup,2023,3,15,Queens,Astoria Park,false,0.1493,0.1167,0.1493
8,pickup,2023,4,15,Queens,Astoria Park,false,0.1493,0.1167,0.1493
8,pickup,2023,5,13,Queens,Astoria Park,false,0.1493,0.1167,0.1493
8,pickup,2023,6,14,Queens,Astoria Park,false,0.1493,0.1167,0.1493
8,pickup,2024,2,2,Queens,Astoria Park,false,0.1493,0.1167,0.1493
8,pickup,2024,3,7,Queens,Astoria Park,false,0.1493,0.1167,0.1493
8,pickup,2024,4,13,Queens,Astoria Park,false,0.1493,0.1167,0.1493
8,pickup,2024,5,19,Queens,Astoria Park,false,0.1493,0.1167,0.1493
8,pickup,2024,6,19,Queens,Astoria Park,false,0.1493,0.1167,0.1493
9,dropoff,2023,2,259,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,dropoff,2023,3,298,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,dropoff,2023,4,315,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,dropoff,2023,5,378,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,dropoff,2023,6,469,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,dropoff,2024,2,236,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,dropoff,2024,3,282,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,dropoff,2024,4,291,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,dropoff,2024,5,350,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,dropoff,2024,6,333,Queens,Auburndale,false,0.1152,0.1139,0.1152
9,pickup,2023,2,35,Queens,Auburndale,false,0.0617,0.1357,0.0617
9,pickup,2023,3,50,Queens,Auburndale,false,0.0617,0.1357,0.0617
9,pickup,2023,4,42,Queens,Auburndale,false,0.0617,0.1357,0.0617
9,pickup,2023,5,57,Queens,Auburndale,false,0.0617,0.1357,0.0617
9,pickup,2023,6,43,Queens,Auburndale,false,0.0617,0.1357,0.0617
9,pickup,2024,2,53,Queens,Auburndale,false,0.0617,0.1357,0.0617
9,pickup,2024,3,41,Queens,Auburndale,false,0.0617,0.1357,0.0617
9,pickup,2024,4,61,Queens,Auburndale,false,0.0617,0.1357,0.0617
9,pickup,2024,5,60,Queens,Auburndale,false,0.0617,0.1357,0.0617
9,pickup,2024,6,43,Queens,Auburndale,false,0.0617,0.1357,0.0617
10,dropoff,2023,2,2429,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,dropoff,2023,3,3340,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,dropoff,2023,4,3047,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,dropoff,2023,5,3297,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,dropoff,2023,6,3277,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,dropoff,2024,2,2200,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,dropoff,2024,3,2842,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,dropoff,2024,4,2748,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,dropoff,2024,5,3104,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,dropoff,2024,6,3043,Queens,Baisley Park,false,0.0561,0.056,0.0561
10,pickup,2023,2,689,Queens,Baisley Park,false,0.4605,0.4101,0.4605
10,pickup,2023,3,1058,Queens,Baisley Park,false,0.4605,0.4101,0.4605
10,pickup,2023,4,906,Queens,Baisley Park,false,0.4605,0.4101,0.4605
10,pickup,2023,5,1021,Queens,Baisley Park,false,0.4605,0.4101,0.4605
10,pickup,2023,6,1021,Queens,Baisley Park,false,0.4605,0.4101,0.4605
10,pickup,2024,2,913,Queens,Baisley Park,false,0.4605,0.4101,0.4605
10,pickup,2024,3,1144,Queens,Baisley Park,false,0.4605,0.4101,0.4605
10,pickup,2024,4,1184,Queens,Baisley Park,false,0.4605,0.4101,0.4605
10,pickup,2024,5,1145,Queens,Baisley Park,false,0.4605,0.4101,0.4605
10,pickup,2024,6,1115,Queens,Baisley Park,false,0.4605,0.4101,0.4605
11,dropoff,2023,2,178,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,dropoff,2023,3,224,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,dropoff,2023,4,205,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,dropoff,2023,5,231,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,dropoff,2023,6,236,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,dropoff,2024,2,173,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,dropoff,2024,3,213,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,dropoff,2024,4,211,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,dropoff,2024,5,230,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,dropoff,2024,6,204,Brooklyn,Bath Beach,false,0.2793,0.2444,0.2793
11,pickup,2023,2,37,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
11,pickup,2023,3,47,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
11,pickup,2023,4,58,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
11,pickup,2023,5,47,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
11,pickup,2023,6,45,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
11,pickup,2024,2,59,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
11,pickup,2024,3,79,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
11,pickup,2024,4,73,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
11,pickup,2024,5,93,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
11,pickup,2024,6,71,Brooklyn,Bath Beach,false,0.1368,0.1787,0.1368
12,dropoff,2023,2,1085,Manhattan,Battery Park,true,1.0,1.0,1.0
12,dropoff,2023,3,1381,Manhattan,Battery Park,true,1.0,1.0,1.0
12,dropoff,2023,4,1747,Manhattan,Battery Park,true,1.0,1.0,1.0
12,dropoff,2023,5,1668,Manhattan,Battery Park,true,1.0,1.0,1.0
12,dropoff,2023,6,1891,Manhattan,Battery Park,true,1.0,1.0,1.0
12,dropoff,2024,2,1239,Manhattan,Battery Park,true,1.0,1.0,1.0
12,dropoff,2024,3,1936,Manhattan,Battery Park,true,1.0,1.0,1.0
12,dropoff,2024,4,1773,Manhattan,Battery Park,true,1.0,1.0,1.0
12,dropoff,2024,5,1850,Manhattan,Battery Park,true,1.0,1.0,1.0
12,dropoff,2024,6,2180,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2023,2,825,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2023,3,1185,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2023,4,1526,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2023,5,1480,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2023,6,1482,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2024,2,789,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2024,3,1099,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2024,4,1215,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2024,5,1305,Manhattan,Battery Park,true,1.0,1.0,1.0
12,pickup,2024,6,1465,Manhattan,Battery Park,true,1.0,1.0,1.0
13,dropoff,2023,2,19356,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,dropoff,2023,3,23282,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,dropoff,2023,4,23458,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,dropoff,2023,5,25409,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,dropoff,2023,6,24223,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,dropoff,2024,2,18746,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,dropoff,2024,3,22129,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,dropoff,2024,4,22424,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,dropoff,2024,5,23351,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,dropoff,2024,6,23102,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2023,2,14436,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2023,3,17712,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2023,4,17213,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2023,5,20062,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2023,6,19152,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2024,2,15278,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2024,3,17183,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2024,4,17545,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2024,5,18932,Manhattan,Battery Park City,true,1.0,1.0,1.0
13,pickup,2024,6,19030,Manhattan,Battery Park City,true,1.0,1.0,1.0
14,dropoff,2023,2,1822,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,dropoff,2023,3,2137,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,dropoff,2023,4,2030,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,dropoff,2023,5,2187,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,dropoff,2023,6,2150,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,dropoff,2024,2,1641,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,dropoff,2024,3,1917,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,dropoff,2024,4,2133,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,dropoff,2024,5,2062,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,dropoff,2024,6,1915,Brooklyn,Bay Ridge,false,0.464,0.4218,0.464
14,pickup,2023,2,218,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
14,pickup,2023,3,241,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
14,pickup,2023,4,190,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
14,pickup,2023,5,222,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
14,pickup,2023,6,163,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
14,pickup,2024,2,335,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
14,pickup,2024,3,412,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
14,pickup,2024,4,405,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
14,pickup,2024,5,407,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
14,pickup,2024,6,364,Brooklyn,Bay Ridge,false,0.1344,0.1862,0.1344
15,dropoff,2023,2,320,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,dropoff,2023,3,403,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,dropoff,2023,4,447,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,dropoff,2023,5,443,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,dropoff,2023,6,345,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,dropoff,2024,2,360,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,dropoff,2024,3,371,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,dropoff,2024,4,396,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,dropoff,2024,5,383,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,dropoff,2024,6,330,Queens,Bay Terrace/Fort Totten,false,0.0894,0.1011,0.0894
15,pickup,2023,2,26,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
15,pickup,2023,3,42,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
15,pickup,2023,4,46,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
15,pickup,2023,5,38,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
15,pickup,2023,6,30,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
15,pickup,2024,2,47,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
15,pickup,2024,3,42,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
15,pickup,2024,4,42,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
15,pickup,2024,5,35,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
15,pickup,2024,6,16,Queens,Bay Terrace/Fort Totten,false,0.1593,0.2967,0.1593
16,dropoff,2023,2,461,Queens,Bayside,false,0.128,0.1063,0.128
16,dropoff,2023,3,576,Queens,Bayside,false,0.128,0.1063,0.128
16,dropoff,2023,4,593,Queens,Bayside,false,0.128,0.1063,0.128
16,dropoff,2023,5,646,Queens,Bayside,false,0.128,0.1063,0.128
16,dropoff,2023,6,606,Queens,Bayside,false,0.128,0.1063,0.128
16,dropoff,2024,2,428,Queens,Bayside,false,0.128,0.1063,0.128
16,dropoff,2024,3,478,Queens,Bayside,false,0.128,0.1063,0.128
16,dropoff,2024,4,558,Queens,Bayside,false,0.128,0.1063,0.128
16,dropoff,2024,5,581,Queens,Bayside,false,0.128,0.1063,0.128
16,dropoff,2024,6,495,Queens,Bayside,false,0.128,0.1063,0.128
16,pickup,2023,2,41,Queens,Bayside,false,0.0672,0.0839,0.0672
16,pickup,2023,3,51,Queens,Bayside,false,0.0672,0.0839,0.0672
16,pickup,2023,4,54,Queens,Bayside,false,0.0672,0.0839,0.0672
16,pickup,2023,5,49,Queens,Bayside,false,0.0672,0.0839,0.0672
16,pickup,2023,6,43,Queens,Bayside,false,0.0672,0.0839,0.0672
16,pickup,2024,2,29,Queens,Bayside,false,0.0672,0.0839,0.0672
16,pickup,2024,3,64,Queens,Bayside,false,0.0672,0.0839,0.0672
16,pickup,2024,4,71,Queens,Bayside,false,0.0672,0.0839,0.0672
16,pickup,2024,5,68,Queens,Bayside,false,0.0672,0.0839,0.0672
16,pickup,2024,6,42,Queens,Bayside,false,0.0672,0.0839,0.0672
17,dropoff,2023,2,3062,Brooklyn,Bedford,false,0.4504,0.4163,0.4504
17,dropoff,2023,3,3440,Brooklyn,Bedford,false,0.4504,0.4163,0.4504
17,dropoff,2023,4,3508,Brooklyn,Bedford,false,0.4504,0.4163,0.4504
